idle-level monitor, rail 3 V, nothing driven — 2026-08-09_174041
CHANGE THE MIC'S STATE partway through (wake it / let it sleep) and watch for a step.

  t (s)      pin1     pin2     pin3
   72.2    2.5042   2.7335   2.7425
   72.3    2.5042   2.7335   2.7441
   72.4    2.5056   2.7339   2.7441
   72.4    2.5056   2.7339   2.7441
   72.5    2.5056   2.7340   2.7436
   72.6    2.5054   2.7340   2.7436
   72.7    2.5054   2.7340   2.7436
   72.8    2.5054   2.7338   2.7428
   72.8    2.5053   2.7338   2.7428
   72.9    2.5053   2.7334   2.7429
   73.0    2.5051   2.7334   2.7429
   73.1    2.5051   2.7334   2.7429
   73.1    2.5058   2.7345   2.7443
   73.2    2.5058   2.7345   2.7443
   73.3    2.5046   2.7334   2.7421
   73.4    2.5046   2.7334   2.7421
   73.4    2.5046   2.7334   2.7421
   73.5    2.5056   2.7343   2.7436
   73.6    2.5056   2.7343   2.7436
   73.7    2.5055   2.7335   2.7426
   73.8    2.5055   2.7335   2.7426
   73.8    2.5055   2.7335   2.7426
   73.9    2.5065   2.7345   2.7442
   74.0    2.5065   2.7345   2.7442
   74.1    2.5055   2.7339   2.7424
   74.1    2.5055   2.7339   2.7424
   74.2    2.5055   2.7339   2.7436
   74.3    2.5054   2.7343   2.7436
   74.4    2.5054   2.7343   2.7436
   74.5    2.5054   2.7346   2.7440
   74.5    2.5062   2.7346   2.7440
   74.6    2.5062   2.7348   2.7444
   74.7    2.5060   2.7348   2.7444
   74.8    2.5060   2.7348   2.7444
   74.8    2.5060   2.7342   2.7431
   74.9    2.5053   2.7342   2.7431
   75.0    2.5053   2.7342   2.7438
   75.1    2.5057   2.7339   2.7438
   75.1    2.5057   2.7339   2.7438
   75.2    2.5062   2.7349   2.7453
   75.3    2.5062   2.7349   2.7435
   75.4    2.5051   2.7342   2.7435
   75.5    2.5051   2.7342   2.7435
   75.5    2.5051   2.7356   2.7445
   75.6    2.5062   2.7356   2.7445
   75.7    2.5062   2.7356   2.7449
   75.8    2.5063   2.7348   2.7449
   75.8    2.5063   2.7348   2.7449
   75.9    2.5063   2.7346   2.7443
   76.0    2.5057   2.7346   2.7443
   76.1    2.5057   2.7346   2.7443
   76.2    2.5062   2.7349   2.7450
   76.2    2.5062   2.7349   2.7450
   76.3    2.5055   2.7344   2.7442
   76.4    2.5055   2.7344   2.7442
   76.5    2.5055   2.7344   2.7449
   76.6    2.5065   2.7355   2.7449
   76.6    2.5065   2.7355   2.7449
   76.7    2.5071   2.7357   2.7461
   76.8    2.5071   2.7357   2.7461
   76.9    2.5071   2.7350   2.7438
   76.9    2.5059   2.7350   2.7438
   77.0    2.5059   2.7350   2.7438
   77.1    2.5062   2.7359   2.7449
   77.2    2.5062   2.7359   2.7449
   77.3    2.5062   2.7362   2.7447
   77.3    2.5059   2.7362   2.7447
   77.4    2.5059   2.7362   2.7455
   77.5    2.5070   2.7357   2.7455
   77.6    2.5070   2.7357   2.7455
   77.6    2.5057   2.7348   2.7441
   77.7    2.5057   2.7348   2.7441
   77.8    2.5057   2.7348   2.7438
   77.9    2.5062   2.7347   2.7438
   77.9    2.5062   2.7347   2.7438
   78.0    2.5062   2.7342   2.7428
   78.1    2.5056   2.7342   2.7428
   78.2    2.5056   2.7342   2.7435
   78.2    2.5052   2.7345   2.7435
   78.3    2.5052   2.7345   2.7435
   78.4    2.5052   2.7345   2.7444
   78.5    2.5061   2.7354   2.7444
   78.6    2.5061   2.7354   2.7452
   78.6    2.5070   2.7355   2.7452
   78.7    2.5070   2.7355   2.7452
   78.8    2.5070   2.7345   2.7435
   78.9    2.5056   2.7345   2.7435
   78.9    2.5056   2.7345   2.7454
   79.0    2.5071   2.7354   2.7454
   79.1    2.5071   2.7354   2.7454
   79.2    2.5060   2.7345   2.7444
   79.2    2.5060   2.7345   2.7444
   79.3    2.5060   2.7345   2.7437
   79.4    2.5059   2.7347   2.7437
   79.5    2.5059   2.7347   2.7437
   79.5    2.5065   2.7354   2.7449
   79.6    2.5065   2.7354   2.7449
   79.7    2.5065   2.7347   2.7443
   79.8    2.5062   2.7347   2.7443
   79.9    2.5062   2.7347   2.7435
   79.9    2.5054   2.7345   2.7435
   80.0    2.5054   2.7345   2.7435
   80.1    2.5054   2.7345   2.7444
   80.2    2.5061   2.7349   2.7444
   80.2    2.5061   2.7354   2.7457
   80.3    2.5070   2.7354   2.7457
   80.4    2.5070   2.7354   2.7457
   80.5    2.5070   2.7355   2.7450
   80.6    2.5072   2.7355   2.7450
   80.6    2.5072   2.7355   2.7450
   80.7    2.5067   2.7348   2.7446
   80.8    2.5067   2.7348   2.7430
   80.9    2.5063   2.7344   2.7430
   80.9    2.5063   2.7344   2.7430
   81.0    2.5063   2.7344   2.7439
   81.1    2.5057   2.7342   2.7439
   81.2    2.5057   2.7342   2.7437
   81.3    2.5069   2.7353   2.7437
   81.3    2.5069   2.7353   2.7437
   81.4    2.5069   2.7353   2.7440
   81.5    2.5058   2.7343   2.7440
   81.6    2.5058   2.7343   2.7428
   81.6    2.5050   2.7339   2.7428
   81.7    2.5050   2.7339   2.7428
   81.8    2.5050   2.7356   2.7455
   81.9    2.5067   2.7356   2.7455
   82.0    2.5067   2.7356   2.7455
   82.0    2.5050   2.7338   2.7435
   82.1    2.5050   2.7338   2.7436
   82.2    2.5058   2.7344   2.7436
   82.3    2.5058   2.7344   2.7436
   82.3    2.5058   2.7345   2.7438
   82.4    2.5063   2.7345   2.7438
   82.5    2.5063   2.7345   2.7438
   82.6    2.5063   2.7348   2.7449
   82.7    2.5066   2.7348   2.7449
   82.7    2.5065   2.7355   2.7438
   82.8    2.5065   2.7355   2.7438
   82.9    2.5065   2.7355   2.7438
   83.0    2.5063   2.7347   2.7447
   83.0    2.5063   2.7347   2.7447
   83.1    2.5045   2.7334   2.7429
   83.2    2.5045   2.7334   2.7429
   83.3    2.5045   2.7334   2.7429
   83.3    2.5065   2.7353   2.7454
   83.4    2.5065   2.7353   2.7454
   83.5    2.5057   2.7345   2.7434
   83.6    2.5057   2.7345   2.7434
   83.7    2.5057   2.7353   2.7451
   83.7    2.5070   2.7353   2.7451
   83.8    2.5070   2.7353   2.7445
   83.9    2.5070   2.7353   2.7445
   84.0    2.5070   2.7353   2.7445
   84.0    2.5070   2.7357   2.7439
   84.1    2.5060   2.7357   2.7439
   84.2    2.5060   2.7357   2.7439
   84.3    2.5060   2.7348   2.7443
   84.4    2.5060   2.7348   2.7443
   84.4    2.5060   2.7348   2.7443
   84.5    2.5044   2.7334   2.7426
   84.6    2.5044   2.7334   2.7435
   84.7    2.5056   2.7341   2.7435
   84.7    2.5056   2.7341   2.7435
   84.8    2.5056   2.7341   2.7444
   84.9    2.5062   2.7341   2.7444
   85.0    2.5062   2.7341   2.7444
   85.0    2.5057   2.7347   2.7424
   85.1    2.5057   2.7347   2.7436
   85.2    2.5061   2.7350   2.7436
   85.3    2.5061   2.7350   2.7436
   85.4    2.5061   2.7355   2.7455
   85.4    2.5072   2.7355   2.7455
   85.5    2.5072   2.7355   2.7455
   85.6    2.5065   2.7350   2.7440
   85.7    2.5065   2.7350   2.7440
   85.7    2.5065   2.7350   2.7429
   85.8    2.5053   2.7340   2.7429
   85.9    2.5053   2.7340   2.7427
   86.0    2.5049   2.7337   2.7427
   86.1    2.5049   2.7337   2.7427
   86.1    2.5051   2.7339   2.7427
   86.2    2.5051   2.7339   2.7427
   86.3    2.5056   2.7340   2.7435
   86.4    2.5056   2.7340   2.7435
   86.5    2.5056   2.7340   2.7429
   86.5    2.5056   2.7341   2.7429
   86.6    2.5056   2.7341   2.7429
   86.7    2.5044   2.7339   2.7414
   86.8    2.5044   2.7339   2.7414
   86.9    2.5044   2.7334   2.7427
   86.9    2.5047   2.7334   2.7427
   87.0    2.5047   2.7334   2.7429
   87.1    2.5049   2.7333   2.7429
   87.2    2.5049   2.7333   2.7429
   87.3    2.5061   2.7343   2.7440
   87.3    2.5061   2.7343   2.7440
   87.4    2.5061   2.7337   2.7427
   87.5    2.5050   2.7337   2.7427
   87.6    2.5050   2.7337   2.7427
   87.6    2.5050   2.7339   2.7429
   87.7    2.5050   2.7339   2.7429
   87.8    2.5050   2.7339   2.7429
   87.9    2.5058   2.7339   2.7429
   88.0    2.5058   2.7339   2.7421
   88.0    2.5043   2.7321   2.7421
   88.1    2.5043   2.7321   2.7421
   88.2    2.5052   2.7329   2.7436
   88.3    2.5052   2.7329   2.7436
   88.3    2.5052   2.7329   2.7429
   88.4    2.5052   2.7334   2.7429
   88.5    2.5052   2.7334   2.7429
   88.6    2.5050   2.7329   2.7429
   88.6    2.5050   2.7329   2.7429
   88.7    2.5050   2.7329   2.7429
   88.8    2.5055   2.7331   2.7436
   88.9    2.5055   2.7331   2.7436
   88.9    2.5055   2.7332   2.7434
   89.0    2.5053   2.7332   2.7434
   89.1    2.5053   2.7332   2.7435
   89.2    2.5051   2.7339   2.7435
   89.3    2.5051   2.7339   2.7435
   89.3    2.5060   2.7339   2.7437
   89.4    2.5060   2.7339   2.7437
   89.5    2.5060   2.7339   2.7414
   89.6    2.5050   2.7331   2.7414
   89.6    2.5050   2.7331   2.7414
   89.7    2.5050   2.7331   2.7437
   89.8    2.5051   2.7339   2.7437
   89.9    2.5051   2.7339   2.7447
   90.0    2.5065   2.7348   2.7447

PSU OFF.

==== SUMMARY ====
  pin 1: min +2.5034  max +2.5079  spread    4.5 mV
  pin 2: min +2.7318  max +2.7367  spread    4.9 mV
  pin 3: min +2.7402  max +2.7461  spread    5.9 mV

  All pins stable to within 6 mV. Either the state did not change
  during the run, or idle level does not track it — in which case there is still
  no rig-side awake detector and the operator has to confirm the LCD.
